ID	MeanDecreaseAccuracy	MeanDecreaseGini
PWY-7198	-8.92E-05	0.189126316
PWY-7229	-8.99E-05	0.044925353
PWY-6353	-9.26E-05	0.108890711
PENTOSE-P-PWY	-9.51E-05	0.122837403
PWY0-1479	-9.59E-05	0.159574004
RIBOSYN2-PWY	-9.63E-05	0.11802921
PWY-7234	-9.76E-05	0.106081577
PWY-7664	-9.89E-05	0.018712154
GALACTUROCAT-PWY	-9.90E-05	0.159948811
HCAMHPDEG-PWY	-0.000101965	0.024414286
PWY-6969	-0.000102403	0.087870839
PWY-724	-0.000109869	0.098108828
PWY-7221	-0.000111564	0.101826219
GALACT-GLUCUROCAT-PWY	-0.000113334	0.059271465
PWY-5705	-0.000117544	0.061198241
ECASYN-PWY	-0.000118232	0.025372115
ASPASN-PWY	-0.000118323	0.116698736
ARGDEG-PWY	-0.000118601	0.030437108
GLUCONEO-PWY	-0.000121181	0.122222943
PWY-5898	-0.000126628	0.050820398
SO4ASSIM-PWY	-0.000127744	0.069965064
PWY-6901	-0.000129344	0.117190702
PWY-7269	-0.00013416	0.032444939
PWY0-162	-0.000136261	0.132386695
PWY-5505	-0.000136354	0.066822183
PWY-7210	-0.000145656	0.153772206
PWY66-400	-0.000146434	0.128955935
KDO-NAGLIPASYN-PWY	-0.00014792	0.055132548
TCA-GLYOX-BYPASS	-0.000150182	0.035972322
PWY-5022	-0.000155264	0.078535618
PWY-5913	-0.000160859	0.041446027
PWY-6113	-0.000161317	0.325121894
PWY-5384	-0.000163677	0.105440072
PWY-7003	-0.000164538	0.134415779
PWY-7456	-0.000168431	0.230696508
PWY-3781	-0.000175112	0.132408414
PWY-6549	-0.000176745	0.186151646
GLCMANNANAUT-PWY	-0.000191601	0.117761956
PWY-7211	-0.000197992	0.20129926
PWY-6147	-0.000206274	0.069289941
PWY0-862	-0.000210732	0.052164788
PWY-6897	-0.000211963	0.201432853
METHGLYUT-PWY	-0.000213624	0.160659116
PWY-7117	-0.000215199	0.202038268
PWY-6531	-0.000216205	0.11003945
PWY-7208	-0.000218834	0.134481083
PWY-6123	-0.000226216	0.097450162
PWY-7187	-0.00022943	0.136666605
PWY-5030	-0.000236655	0.123215607
COLANSYN-PWY	-0.000249966	0.173464681
PWY-7539	-0.000262931	0.077852234
PWY66-399	-0.0002656	0.128186035
PWY0-166	-0.000310949	0.137703905
HEMESYN2-PWY	-0.000312367	0.10534313
CENTFERM-PWY	-0.000329079	0.113491973
HISDEG-PWY	-0.000338557	0.194979647
CRNFORCAT-PWY	-0.000356478	0.063678142
GLYCOCAT-PWY	-0.000363297	0.139716248
PWY-5971	-0.000372748	0.19043612
PYRIDNUCSYN-PWY	-0.000390404	0.105309157
